V202110x,V202068x,V202072,V202119,V202120a,V202120b,V202120c,V202120d,V202120e,V202120f,V202120g,V202120h,V202120i,V202120j,V202120k,V202120z,V202122,V202123,V202123z,V202124,V202124z,V202125,V201231x,V201549x,V201600,V201511x,V201601,V201200,V201202,V201203,V201249,V201250,V201251,V201252,V201253,V201254,V201255,V201256,V201257,V201258,V201259,V201260,V201262,V201263,V201264,V201336,V201338,V201339,V201239,V201240,V201241,V201242,V201243,V201244,V201629a,V201629b,V201629c,V201629d,V201629e,V201630a,V201630b,V201630c,V201630d,V201630e,V201630f,V201630g,V201630h,V201630i,V201630j,V201630k,V201630m,V201630n,V201630p,V201630q,V201630r,V201630s,V201631a,V201631b,V201631c,V201631d,V201631e,V201631f,V201631g,V201631h,V201631i,V201631j,V201631k,V201631m,V201631n,V201631p,V201631q,V201631r,V201631s,V201632a,V201632b,V201632c,V201632d,V201632e,V201632f,V201632g,V201632h,V201632i,V201632j,V201632k,V201632m,V201632n,V201632p,V201632q,V201632r,V201632s,V201633a,V201633b,V201633c,V201633d,V201633e,V201633f,V201633g,V201633h,V201633i,V201633j,V201633k,V201633m,V201633n,V201633p,V201633q,V201633r,V201634a,V201634b,V201634c,V201634d,V201634e,V201634f,V201634g,V201634h,V201634i,V201634j,V201634k,V201634m,V201634n,V201634p,V201634q,V201634r,V201634s,V202541a,V202541b,V202541c,V202541d,V202541e,V202541f,V202541g,V202541h,V202541i,V202542,V202543,V202544,V202545,V202546,V202547,V202005,V202006,V202007,V202008,V202009,V202013,V202014,V202015,V202016,V202017,V202019,V202021,V202022,V202023,V202024,V202025,V202026,V202027,V202028,V202029,V202030,V202031,V202032,V202033,V202034,V201233,V201234,V202304,V202305,V202308x,V202309,V202311,V202312,V202557,V202558,V202559,V202560,V201327x,V201330x,V201333x,V202320x,V202352,V202353,V202355,V202356,V202357,V201420x,V201423x,V201426x,V201235,V201236,V201382x,V201351,V201352,V201356x,V201359x,V201362x,V202468x_quartile
1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-2,1,-1,-2,-1,-2,-2,4,1,2,3,1,4,2,7,2,3,7,2,2,7,2,2,7,2,2,7,1,1,7,4,4,1,2,1,1,3,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,2,5,-1,-1,-1,-1,2,-1,1,1,2,2,2,2,2,2,2,2,1,7,1,2,2,2,2,2,1,2,2,2,2,4,1,3,3,3,4,4,2,1,3,2,3,5,5,5,4,3,2,4,1,1,7,6,7,2,2,1,4,5,4,6,2,2
2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-2,1,-1,-2,-1,-2,-2,6,1,2,5,1,6,3,6,4,4,3,99,2,6,5,1,5,3,1,1,99,4,4,3,4,4,4,4,3,5,3,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,3,5,5,5,-1,-1,2,-1,2,2,2,2,2,2,2,2,2,2,1,5,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,4,2,3,1,5,2,5,3,2,3,5,3,2,3,2,3,5,4,2,2,4,6,2,3,7,1,2,4
1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-2,-1,-1,-2,-1,-2,-2,1,3,1,2,1,1,2,7,4,4,7,4,2,6,1,2,7,1,1,7,1,1,7,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,1,3,2,1,1,2,2,1,2,1,1,2,1,7,1,2,2,2,2,2,2,2,2,2,2,3,1,3,5,5,5,5,2,1,2,2,5,5,4,5,7,3,1,4,1,2,7,6,7,1,2,1,3,5,4,1,1,2
-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,2,-2,2,-2,-2,4,3,2,3,1,99,7,7,99,7,7,99,7,7,99,7,7,1,1,1,99,7,7,4,4,4,3,3,3,3,3,3,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,5,-1,-1,-1,-1,-1,3,2,1,2,2,2,2,2,2,2,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,5,1,3,4,3,3,3,3,1,5,2,2,3,3,3,4,4,-1,3,3,2,2,1,4,1,1,6,1,1,6,4,4,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,4,-2,2,-2,-2,6,3,2,1,1,6,1,7,5,2,5,4,4,4,4,4,4,4,4,2,99,3,3,3,4,3,5,2,5,5,3,3,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,1,0,0,0,2,4,7,4,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,1,3,1,2,2,2,2,2,2,2,2,2,2,4,2,3,3,3,3,3,4,2,3,1,2,1,3,3,3,2,-1,3,2,2,4,3,4,2,4,6,2,2,7,2,4,2
-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-2,-6,-6,-2,-6,-2,-2,6,3,1,4,1,5,2,7,4,4,6,4,2,5,2,1,3,2,1,4,7,3,7,1,4,1,4,4,3,4,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,5,1,5,-6,-6,-6,-6,-6,-6,5,6,4,1,2,6,4,4,7,1,4,3
1,2,1,3,0,0,0,0,0,0,0,0,1,0,0,-2,1,-1,-2,-1,-2,-2,1,1,1,5,2,1,3,7,1,5,5,1,2,7,2,4,7,1,3,7,1,3,7,4,4,1,1,1,1,3,1,1,0,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,5,5,-1,-1,4,5,-1,-1,2,2,2,1,1,2,2,1,2,1,1,5,1,1,2,2,1,2,1,2,2,2,2,4,1,4,4,5,4,1,2,2,5,2,5,5,4,5,7,3,3,4,1,3,7,6,7,1,3,1,4,5,1,6,1,4
-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,16,-2,16,-2,-2,5,1,1,3,1,3,4,4,5,1,7,4,1,4,4,7,1,4,7,4,2,7,2,3,4,3,5,5,5,5,4,5,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,7,4,-1,-1,-1,-1,2,-1,2,2,1,2,2,2,2,2,2,2,1,7,1,2,2,2,1,1,2,1,2,1,2,4,1,4,3,3,4,5,5,1,5,1,5,5,5,5,6,1,-1,2,3,1,1,5,1,1,2,4,1,1,7,1,1,1
2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-2,-1,-1,-2,-1,-2,-2,7,1,2,2,1,6,1,6,5,2,6,5,1,4,5,1,7,6,1,5,7,2,6,2,4,2,5,5,5,5,5,5,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,2,-1,2,2,2,2,2,1,2,2,2,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,-9,1,2,2,1,3,2,5,1,3,1,1,1,1,2,-1,1,4,5,4,4,1,2,4,4,3,3,4,2,4,2
1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-2,1,-1,-2,-1,-2,-2,1,1,1,4,1,1,2,7,1,3,7,1,4,7,1,3,7,1,3,7,1,3,7,4,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,2,5,2,4,2,4,-1,-1,2,2,1,2,2,2,2,1,2,1,1,7,1,2,1,2,1,1,2,2,1,2,2,4,1,3,3,5,5,2,1,2,5,2,5,5,3,5,7,3,3,4,1,1,6,6,7,2,3,1,4,4,4,6,2,4
2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-2,1,-1,-2,-1,-2,-2,7,1,2,3,1,7,1,7,7,1,7,4,1,6,99,1,5,7,7,7,1,4,1,5,4,1,5,5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,5,5,-1,-1,-1,-1,-1,2,1,1,1,2,2,2,2,2,2,2,1,7,2,2,2,1,2,2,2,2,2,2,2,2,1,5,2,2,3,3,5,1,3,1,3,4,1,4,4,2,-1,2,3,3,4,6,1,1,3,4,4,4,7,1,7,2
-1,2,2,1,0,0,0,0,0,0,0,0,0,0,1,-2,-1,-1,-2,-1,-2,-2,7,1,1,4,-9,5,2,7,5,4,6,4,6,6,4,3,6,4,3,6,4,2,6,4,4,4,4,3,4,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,1,1,2,2,1,2,2,2,4,1,3,3,4,5,4,3,2,1,2,3,2,3,5,3,3,2,4,2,1,2,6,4,1,3,2,4,5,7,1,4,1
-1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-2,-6,-6,-2,-6,-2,-2,3,2,2,4,1,4,2,6,7,7,7,4,5,7,4,3,7,4,4,7,99,4,7,4,3,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,4,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,5,3,5,-6,-6,-6,-6,-6,-6,7,6,7,1,3,1,4,1,2,2,1,4
2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,-2,1,-1,-2,-1,-2,-2,7,1,2,4,1,7,1,6,6,3,6,7,2,7,7,2,7,7,2,7,6,2,6,2,4,2,5,5,5,5,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,1,2,2,2,2,2,2,2,3,1,3,2,3,2,2,4,1,4,1,4,1,1,3,1,3,2,2,3,1,1,5,1,1,3,4,3,3,7,1,4,4
2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-2,1,-1,-2,-1,-2,-2,5,1,2,3,1,5,2,6,7,2,7,7,1,7,7,1,7,6,1,7,7,1,7,2,4,1,5,4,5,5,3,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,7,5,-1,-1,-1,-1,2,-1,2,2,2,2,2,2,2,2,2,2,1,7,2,2,2,2,2,2,2,2,2,2,2,3,1,3,3,3,4,4,4,1,3,1,4,2,1,4,5,3,2,3,2,4,1,1,1,1,4,6,2,3,7,1,2,4
1,2,1,3,0,0,0,0,0,0,0,1,0,0,0,-2,-1,-1,-2,-1,-2,-2,1,2,1,2,1,6,6,2,7,6,6,7,6,6,7,6,5,7,7,7,7,6,6,4,4,4,2,2,2,2,2,2,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,5,-1,-1,-1,-1,2,-1,2,2,2,2,2,2,2,2,2,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,5,3,3,3,1,3,1,3,5,5,5,4,2,-1,2,4,4,2,2,6,2,3,6,4,3,6,6,6,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,16,-2,16,-2,-2,1,2,1,2,1,2,2,7,99,4,3,1,2,7,4,5,7,99,3,7,99,4,7,4,4,2,2,1,2,2,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,2,2,2,1,2,2,2,1,5,2,2,2,1,2,2,2,2,2,2,2,3,1,3,3,3,3,3,2,2,2,2,1,3,2,3,4,2,-1,3,2,1,4,2,4,2,4,3,3,3,4,1,2,2
1,2,1,2,0,0,0,0,0,0,0,0,0,0,1,-2,-1,-1,-2,-1,-2,-2,4,3,1,2,1,4,2,3,99,4,5,99,4,4,99,4,4,99,4,7,99,4,4,2,2,4,3,3,3,3,3,3,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,4,3,4,-1,-1,-1,3,2,1,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,3,1,5,5,3,3,5,5,1,3,2,3,5,3,5,6,2,-1,4,1,2,7,6,4,2,4,4,3,3,2,1,4,2
1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-2,-1,-1,-2,-1,-2,-2,1,1,1,4,1,3,2,-9,3,3,6,3,4,7,4,5,7,4,3,7,1,3,7,4,4,2,2,1,1,2,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,5,5,-1,-1,-1,-1,2,-1,2,2,1,2,2,2,2,2,1,1,1,5,1,2,2,2,1,1,2,1,2,2,2,3,1,3,3,5,5,4,2,2,3,2,4,5,4,5,6,3,2,3,2,1,6,6,7,2,3,1,4,5,4,4,2,3
-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-8,-2,-1,-2,-2,3,3,1,4,1,5,2,7,2,1,1,3,1,7,4,2,7,3,2,6,1,3,7,4,2,2,4,2,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,0,1,1,0,0,0,2,5,7,5,-1,-1,-1,-1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,1,1,2,5,1,4,3,5,5,5,4,1,5,2,4,5,5,5,2,3,2,4,1,1,7,6,7,1,2,1,2,3,4,2,1,4
1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-2,-1,-1,-2,-1,-2,-2,1,1,2,3,1,99,2,7,4,4,6,2,2,7,1,1,7,2,2,7,1,1,7,4,4,2,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,4,-1,-1,-1,-1,1,3,2,1,1,2,2,2,2,2,2,2,1,7,2,2,1,2,2,1,2,2,2,2,2,4,1,4,4,3,3,3,3,2,3,2,4,5,2,5,7,1,-1,2,4,3,4,6,7,1,3,1,3,3,2,6,1,1
1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-2,-1,-1,-2,-1,-2,-2,1,3,2,5,1,3,4,6,2,4,7,1,3,7,2,3,7,1,3,7,1,3,7,4,3,1,1,1,1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,2,-1,2,2,1,1,2,1,2,1,1,2,1,3,1,1,1,2,1,2,1,2,2,1,2,3,1,5,5,2,4,3,1,2,5,2,5,4,4,3,7,2,-1,3,2,1,7,6,7,2,3,1,4,5,4,7,1,3
1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-2,1,-1,-2,-1,-2,-2,1,3,1,4,1,99,4,4,4,4,1,4,4,7,4,4,7,4,4,7,4,2,7,4,4,1,3,3,3,3,3,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,4,-1,-1,-1,-1,-1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,3,1,4,4,3,3,3,3,2,2,2,3,5,2,5,6,2,-1,2,3,1,5,5,7,1,2,1,4,3,4,4,4,99
1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-2,1,-1,-2,-1,-2,-2,1,1,1,5,2,2,3,6,4,4,7,1,4,7,3,3,7,1,2,7,1,3,7,4,4,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,7,5,5,5,-1,-1,-1,-1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,4,1,4,4,2,5,3,2,2,5,2,5,5,1,5,7,3,2,3,1,3,7,6,7,1,4,1,4,5,4,7,1,3
1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-2,-1,-1,-2,-1,-2,-2,1,1,2,3,1,2,2,6,99,4,3,2,4,7,2,3,7,3,3,7,2,3,7,4,4,1,1,1,2,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,2,4,-1,-1,-1,-1,2,-1,2,1,1,1,2,2,2,1,2,1,1,5,1,1,1,2,1,1,2,2,2,2,1,4,1,3,3,3,3,3,2,2,4,2,4,5,3,5,5,2,-1,2,1,2,6,5,6,1,2,1,3,4,4,1,2,1
2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-2,1,-1,-2,-1,-2,-2,7,1,1,4,1,7,1,6,6,1,7,7,1,7,7,1,7,1,4,1,7,1,7,2,4,2,5,5,5,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,1,2,2,1,0,2,2,2,1,1,2,2,2,2,2,2,4,1,4,3,3,5,4,4,1,4,1,4,3,1,3,3,3,2,4,1,3,6,5,1,1,3,1,2,4,6,1,4,3
